 Lambda\Phi' ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 -30 ° ;1.640;2.300;3.200;4.800;7.200;11.300;18.900;34.000
 -35 ° ;1.630;2.350;3.400;5.100;8.000;13.000;22.500;43.000
 -40 ° ;1.620;2.400;3.600;5.500;8.900;15.200;24.500;53.000
 -45 ° ;1.590;2.400;3.700;6.000;9.800;17.500;26.500;68.000
 -50 ° ;1.550;2.400;3.900;6.400;11.100;20.500;29.500;84.000
 -55 ° ;1.490;2.450;4.000;6.900;12.200;23.500;43.000;106.000
 -60 ° ;1.430;2.400;4.200;7.400;13.700;27.000;56.000;134.000
 -65 ° ;1.350;2.400;4.300;7.900;15.200;31.000;68.000;168.000
 -70 ° ;1.250;2.350;4.400;8.500;17.000;36.000;81.000;210.000
 -75 ° ;1.160;2.300;4.500;9.100;18.800;42.000;99.000;265.000
 -80 ° ;1.030;2.200;4.600;9.700;21.000;48.000;119.000;340.000
 -85 ° ;  ;2.100;4.700;10.300;23.500;56.000;144.000;420.000
 -90 ° ;  ;1.970;4.700;11.000;26.000;64.000;173.000;530.000
;;;;;;;;
 Lambda\Phi' ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 50 ° ;  ;  ;  ;  ;  ;  ;  ;  
 45 ° ;  ;  ;  ;  ;  ;  ;  ;1.040
 40 ° ;  ;  ;  ;  ;1.000;1.200;1.400;1.700
 35 ° ;  ;  ;1.060;1.240;1.420;1.730;2.000;2.200
 30 ° ;1.020;1.160;1.320;1.520;1.770;2.100;2.600;3.100
 25 ° ;1.140;1.310;1.510;1.770;2.100;2.550;3.200;4.100
 20 ° ;1.230;1.430;1.680;2.000;2.450;3.000;3.800;5.100
 15 ° ;1.310;1.560;1.860;2.250;2.800;3.600;4.600;6.400
 10 ° ;1.390;1.680;2.050;2.550;3.200;4.200;5.700;8.100
 5 ° ;1.460;1.790;2.200;2.800;3.700;4.900;6.900;10.000
 0 ° ;1.520;1.900;2.400;3.100;4.200;5.700;8.200;12.500
 -5 ° ;1.560;2.000;2.600;3.500;4.700;6.600;10.000;15.800
 -10 ° ;1.620;2.100;2.750;3.800;5.300;7.800;11.900;19.900
 -15 ° ;1.650;2.200;2.950;4.200;6.000;9.000;14.400;25.000
 -20 ° ;1.670;2.300;3.200;4.600;6.700;10.400;17.300;31.000
 -25 ° ;1.680;2.350;3.400;5.000;7.600;12.000;20.500;39.000
 -30 ° ;1.690;2.400;3.500;5.400;8.400;13.900;25.000;50.000
 -35 ° ;1.690;2.500;3.700;5.800;9.400;16.200;30.000;61.000
 -40 ° ;1.670;2.500;3.900;6.300;10.500;18.800;36.000;78.000
 -45 ° ;1.640;2.550;4.100;6.800;11.600;21.500;44.000;98.000
 -50 ° ;1.600;2.550;4.200;7.300;13.000;25.000;52.000;122.000
 -55 ° ;1.540;2.600;4.400;7.800;14.400;29.000;63.000;154.000
 -60 ° ;1.480;2.550;4.600;8.400;16.200;33.000;76.000;192.000
 -65 ° ;1.390;2.550;4.700;9.000;18.000;39.000;91.000;240.000
 -70 ° ;1.300;2.500;4.800;9.600;20.000;45.000;108.000;300.000
 -75 ° ;1.200;2.400;4.900;10.300;22.500;52.000;132.000;390.000
 -80 ° ;1.070;2.350;5.000;11.000;25.000;60.000;159.000;480.000
 -85 ° ;  ;2.250;5.100;11.700;27.500;70.000;192.000;610.000
 -90 ° ;  ;2.100;5.200;12.500;31.000;80.000;230.000;770.000
;;;;;;;;
 Lambda\Phi' ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 50 ° ;  ;  ;  ;  ;  ;1.100;1.400;1.790
 45 ° ;  ;  ;  ;1.060;1.280;1.560;2.000;2.500
 40 ° ;  ;1.000;1.160;1.390;1.600;2.000;2.550;3.300
 35 ° ;1.040;1.180;1.380;1.640;1.970;2.450;3.200;4.100
