Beta/phi=-1 ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 -75 ° ;1.250;2.600;5.300;11.300;25.000;58.000;152.000;460.000
 -80 ° ;1.130;2.500;5.600;12.000;28.000;68.000;184.000;590.000
 -85 ° ;  ;2.400;5.600;13.000;31.000;79.000;220.000;730.000
 -90 ° ;  ;2.300;5.700;13.900;35.000;91.000;270.000;930.000
;;;;;;;;
 Beta\Phi=-0.2 ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 50 ° ;  ;  ;  ;  ;  ;1.000;1.300;1.550
 45 ° ;  ;  ;  ;1.010;1.220;1.410;1.690;2.100
 40 ° ;  ;  ;1.120;1.260;1.410;1.760;2.200;2.800
 35 ° ;1.000;1.120;1.280;1.500;1.800;2.200;2.800;3.800
 30 ° ;1.090;1.250;1.460;1.760;2.100;2.700;3.500;4.800
 25 ° ;1.180;1.380;1.640;2.000;2.500;3.200;4.400;6.300
 20 ° ;1.270;1.500;1.840;2.300;2.950;3.900;5.400;7.800
 15 ° ;1.350;1.650;2.050;2.600;3.400;4.600;6.300;10.400
 10 ° ;1.430;1.780;2.250;2.950;3.900;5.500;8.000;12.600
 5 ° ;1.510;1.900;2.450;3.400;4.500;6.500;9.900;16.500
 0 ° ;1.570;2.050;2.700;3.600;5.100;7.600;12.000;21.000
 -5 ° ;1.630;2.150;2.900;4.000;5.900;9.200;14.100;26.000
 -10 ° ;1.680;2.250;3.100;4.400;6.600;10.500;18.000;34.000
 -15 ° ;1.720;2.350;3.300;4.900;7.500;12.300;21.500;42.000
 -20 ° ;1.740;2.450;3.600;5.400;8.500;14.400;26.000;53.000
 -25 ° ;1.760;2.550;3.800;5.900;9.600;16.800;32.000;61.000
 -30 ° ;1.770;2.600;4.000;6.400;10.800;19.200;38.000;84.000
 -35 ° ;1.770;2.700;4.200;7.000;12.200;22.500;46.000;106.000
 -40 ° ;1.750;2.750;4.500;7.500;13.600;26.000;55.000;134.000
 -45 ° ;1.720;2.800;4.700;8.200;15.200;30.000;61.000;168.000
 -50 ° ;1.690;2.850;4.900;8.900;17.000;35.000;81.000;210.000
 -55 ° ;1.640;2.850;5.100;9.600;19.000;41.000;91.000;265.000
 -60 ° ;1.570;2.850;5.300;10.300;21.500;41.000;117.000;340.000
 -65 ° ;1.490;2.850;5.500;11.100;23.500;55.000;142.000;420.000
 -70 ° ;1.400;2.800;5.700;11.900;26.500;63.000;170.000;530.000
 -75 ° ;1.300;2.150;5.800;12.800;29.500;74.000;205.000;660.000
 -80 ° ;1.170;2.650;6.000;13.800;33.000;86.000;250.000;840.000
 -85 ° ;1.030;2.550;6.100;14.800;37.000;100.000;300.000;  
 -90 ° ;  ;2.450;6.200;15.800;41.000;114.000;360.000;  
;;;;;;;;
 Beta\Phi=0 ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 50 ° ;  ;  ;  ;1.140;1.350;1.540;2.200;2.850
 45 ° ;  ;  ;1.100;1.360;1.650;2.100;2.750;3.800
 40 ° ;  ;1.120;1.320;1.600;1.980;2.600;3.500;5.000
 35 ° ;1.070;1.260;1.510;1.870;2.350;3.100;4.400;6.500
 30 ° ;1.170;1.400;1.700;2.150;2.800;3.800;5.000;8.200
 25 ° ;1.260;1.540;1.910;2.500;3.200;4.300;6.700;10.700
 20 ° ;1.350;1.670;2.100;2.800;3.800;5.000;8.100;13.500
 15 ° ;1.440;1.820;2.350;3.100;4.400;6.000;10.100;17.300
 10 ° ;1.520;1.940;2.550;3.500;5.000;7.600;12.200;21.500
 5 ° ;1.590;2.100;2.800;3.900;5.700;8.900;15.000;21.500
 0 ° ;1.660;2.200;3.100;4.400;6.500;10.500;18.000;35.000
 -5 ° ;1.710;2.350;3.300;4.800;7.500;12.300;22.000;44.000
 -10 ° ;1.760;2.450;3.500;5.300;8.400;14.200;26.500;56.000
 -15 ° ;1.800;2.550;3.800;5.800;9.500;16.600;32.000;70.000
 -20 ° ;1.830;2.650;4.000;6.400;10.700;19.600;39.000;88.000
 -25 ° ;1.850;2.750;4.300;7.000;12.100;23.000;47.000;112.000
 -30 ° ;1.860;2.850;4.500;7.600;13.600;26.200;57.000;140.000
 -35 ° ;1.850;2.900;4.800;8.300;15.300;30.000;69.000;177.000
 -40 ° ;1.840;2.950;5.000;9.000;17.100;35.000;82.000;225.000
 -45 ° ;1.800;3.000;5.300;9.100;19.200;41.000;100.000;280.000
 -50 ° ;1.770;3.000;5.500;10.500;21.500;46.000;120.000;350.000
 -55 ° ;1.710;3.100;5.700;11.400;24.000;56.000;146.000;440.000
 -60 ° ;1.640;3.100;6.000;12.200;27.000;64.000;175.000;560.000
 -65 ° ;1.560;3.100;6.200;13.100;30.000;74.000;210.000;700.000
 -70 ° ;1.470;3.000;6.400;14.100;34.000;86.000;255.000;890.000
 -75 ° ;1.360;3.000;6.600;15.300;37.000;100.000;310.000;  
 -80 ° ;1.230;2.900;6.800;16.400;42.000;116.000;310.000;  
 -85 ° ;1.080;2.800;7.000;17.500;47.000;135.000;440.000;  
 -90 ° ;  ;2.650;7.100;18.800;52.000;156.000;540.000;  
;;;;;;;;
 Beta\Phi=0.2 ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 50 ° ;  ;  ;1.160;1.430;1.800;2.400;3.300;5.000
 45 ° ;  ;1.100;1.340;1.690;2.200;2.950;4.100;6.500
 40 ° ;1.040;1.250;1.540;1.950;2.600;3.600;5.200;8.400
 35 ° ;1.140;1.390;1.750;2.250;3.100;4.300;6.600;10.800
 30 ° ;1.240;1.530;1.960;2.600;3.500;5.100;8.000;13.400
 25 ° ;1.330;1.680;2.200;2.950;4.100;6.200;9.900;17.500
 20 ° ;1.430;1.820;2.400;3.300;4.800;7.300;12.000;22.000
 15 ° ;1.510;1.980;2.650;3.700;5.500;8.600;14.600;28.500
 10 ° ;1.590;2.100;2.900;4.200;6.200;10.200;17.800;35.000
 5 ° ;1.670;2.250;3.100;4.600;7.200;11.900;22.000;45.000
 0 ° ;1.740;2.400;3.400;5.100;8.100;14.000;26.000;56.000
 -5 ° ;1.790;2.500;3.700;5.600;9.300;16.300;32.000;72.000
 -10 ° ;1.840;2.650;3.900;6.200;10.400;19.000;39.000;90.000
 -15 ° ;1.880;2.750;4.200;6.700;11.800;22.000;47.000;115.000
 -20 ° ;1.900;2.850;4.500;7.500;13.200;26.000;56.000;142.000
 -25 ° ;1.920;2.950;4.800;8.100;14.900;30.000;68.000;180.000
 -30 ° ;1.930;3.000;5.000;8.800;16.800;35.000;82.000;230.000
 -35 ° ;1.930;3.100;5.300;9.600;18.800;40.000;99.000;285.000
 -40 ° ;1.910;3.200;5.600;10.400;21.000;47.000;119.000;360.000
 -45 ° ;1.880;3.200;5.800;11.300;23.500;55.000;145.000;460.000
 -50 ° ;1.840;3.300;6.100;12.200;26.500;63.000;174.000;570.000
 -55 ° ;1.780;3.300;6.400;13.200;29.500;73.000;210.000;720.000
 -60 ° ;1.700;3.300;6.600;14.200;33.000;85.000;250.000;910.000
 -65 ° ;1.620;3.300;6.900;15.400;37.000;99.000;310.000;  
 -70 ° ;1.520;3.200;7.100;16.500;41.000;115.000;370.000;  
 -75 ° ;1.400;3.200;7.300;17.700;46.000;133.000;440.000;  
 -80 ° ;1.230;3.100;7.500;19.100;51.000;155.000;540.000;  
 -85 ° ;1.120;3.000;7.700;20.500;58.000;179.000;650.000;  
 -90 ° ;  ;2.850;7.900;22.000;64.000;210.000;780.000;  
;;;;;;;;
 Beta\Phi=0.333 ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 50 ° ;  ;1.040;1.290;1.640;2.150;2.950;4.400;6.900
 45 ° ;  ;1.180;1.470;1.900;2.600;3.600;5.500;9.000
 40 ° ;1.080;1.330;1.670;2.200;3.000;4.300;6.700;11.500
 35 ° ;1.180;1.410;1.900;2.550;3.600;5.300;8.400;14.800
 30 ° ;1.280;1.620;2.100;2.900;4.100;6.200;10.200;19.300
 25 ° ;1.380;1.710;2.350;3.300;4.800;7.400;12.600;23.500
 20 ° ;1.470;1.920;2.600;3.700;5.500;8.700;15.200;29.500
 15 ° ;1.560;2.050;2.850;4.100;6.300;10.300;18.100;38.000
 10 ° ;1.640;2.200;3.100;4.600;7.200;12.000;22.500;48.000
 5 ° ;1.720;2.350;3.400;5.100;8.200;14.200;27.500;61.000
 0 ° ;1.780;2.500;3.700;5.600;9.200;16.400;33.000;76.000
 -5 ° ;1.840;2.650;3.900;6.200;10.000;19.500;40.000;97.000
 -10 ° ;1.880;2.750;4.200;6.900;11.800;22.500;48.000;121.000
 -15 ° ;1.920;2.900;4.500;7.400;13.400;26.000;59.000;155.000
 -20 ° ;1.950;3.000;4.800;8.200;15.100;30.000;71.000;194.000
 -25 ° ;1.970;3.100;5.100;8.900;17.000;36.000;86.000;245.000
 -30 ° ;1.980;3.100;5.400;9.700;19.000;41.000;104.000;310.000
 -35 ° ;1.970;3.200;5.700;10.500;21.500;48.000;124.000;390.000
 -40 ° ;1.950;3.300;6.000;11.500;24.000;56.000;150.000;490.000
 -45 ° ;1.920;3.400;6.200;12.400;27.000;65.000;182.000;610.000
 -50 ° ;1.880;3.400;6.500;13.400;30.000;75.000;220.000;770.000
 -55 ° ;1.820;3.400;6.800;14.400;34.000;88.000;260.000;980.000
 -60 ° ;1.740;3.400;7.100;15.000;38.000;101.000;320.000;  
 -65 ° ;1.660;3.400;7.300;16.700;42.000;118.000;380.000;  
 -70 ° ;1.550;3.400;7.600;18.000;47.000;135.000;460.000;  
 -75 ° ;1.430;3.300;7.800;19.500;53.000;159.000;560.000;  
 -80 ° ;1.320;3.200;8.100;21.000;59.000;184.000;680.000;  
 -85 ° ;1.150;3.100;8.200;22.500;66.000;214.000;810.000;  
 -90 ° ;  ;2.900;8.400;24.000;73.000;248.000;980.000;  
;;;;;;;;
 Beta\Phi=0.4 ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 50 ° ;  ;1.080;1.350;1.740;2.350;3.300;5.000;8.100
 45 ° ;1.000;1.220;1.540;2.050;2.800;4.000;6.200;10.500
 40 ° ;1.100;1.370;1.750;2.300;3.200;4.800;7.600;13.400
 35 ° ;1.200;1.520;1.980;2.700;3.800;5.800;9.500;17.200
 30 ° ;1.300;1.660;2.200;3.100;4.400;6.800;11.400;21.500
 25 ° ;1.400;1.820;2.450;3.400;5.100;8.100;14.100;27.500
 20 ° ;1.500;1.960;2.700;3.900;5.900;9.600;17.000;35.000
 15 ° ;1.580;2.100;2.950;4.300;6.700;11.300;21.000;44.000
 10 ° ;1.660;2.250;3.200;4.700;7.700;13.200;25.000;55.000
 5 ° ;1.740;2.400;3.500;5.300;8.800;15.400;31.000;71.000
 0 ° ;1.800;2.550;3.800;5.900;9.800;18.100;37.000;88.000
 -5 ° ;1.860;2.700;4.100;6.500;11.300;21.000;45.000;112.000
 -10 ° ;1.910;2.800;4.400;7.100;12.700;24.500;55.000;140.000
 -15 ° ;1.950;2.950;4.600;7.600;14.300;28.500;66.000;178.000
 -20 ° ;1.980;3.000;4.900;8.600;16.100;34.000;80.000;225.000
 -25 ° ;1.990;3.200;5.200;9.300;18.100;38.000;96.000;280.000
 -30 ° ;2.000;3.200;5.500;10.100;20.500;45.000;115.000;360.000
 -35 ° ;1.990;3.300;5.800;11.000;23.000;52.000;140.000;450.000
 -40 ° ;1.970;3.400;6.100;12.000;25.500;61.000;168.000;560.000
 -45 ° ;1.940;3.400;6.400;13.000;28.500;70.000;205.000;710.000
 -50 ° ;1.900;3.400;6.700;14.000;32.000;82.000;245.000;900.000
 -55 ° ;1.830;3.500;7.000;15.100;36.000;95.000;295.000;  
 -60 ° ;1.760;3.500;7.300;16.300;40.000;110.000;360.000;  
 -65 ° ;1.660;3.500;7.500;17.600;45.000;128.000;430.000;  
 -70 ° ;1.570;3.400;7.700;18.900;50.000;148.000;520.000;  
 -75 ° ;1.440;3.400;8.100;20.500;56.000;173.000;620.000;  
 -80 ° ;1.320;3.300;8.300;22.000;63.000;200.000;760.000;  
 -85 ° ;1.160;3.200;8.500;23.500;70.000;232.000;920.000;  
 -90 ° ;  ;3.000;8.700;25.000;78.000;270.000;  ;  
;;;;;;;;
 Beta\Phi=0.6 ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 50 ° ;  ;1.180;1.540;2.100;2.900;4.400;7.000;12.700
 45 ° ;1.060;1.340;1.760;2.400;3.400;5.300;8.800;16.400
 40 ° ;1.160;1.490;1.970;2.700;4.000;6.300;10.600;21.000
