 Lambda\Phi' ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 -20 ° ;1.630;2.200;2.950;4.100;5.800;8.600;13.600;22.500
 -25 ° ;1.640;2.250;3.100;4.400;6.500;10.000;16.300;27.800
 -30 ° ;1.660;2.350;3.300;4.800;7.200;11.400;19.200;34.000
 -35 ° ;1.630;2.350;3.400;5.200;8.100;13.100;23.000;43.000
 -40 ° ;1.620;2.400;3.600;5.600;8.900;15.200;27.500;54.000
 -45 ° ;1.580;2.400;3.700;6.000;10.000;17.500;33.000;68.000
 -50 ° ;1.540;2.450;3.800;6.400;11.000;20.500;40.000;86.000
 -55 ° ;1.480;2.400;4.000;6.900;12.300;23.500;48.000;106.000
 -60 ° ;1.430;2.350;4.100;7.300;13.600;26.500;58.000;134.000
 -65 ° ;1.330;2.350;4.200;7.800;15.000;31.000;68.000;171.000
 -70 ° ;1.200;2.250;4.400;8.300;16.700;36.000;84.000;220.000
 -75 ° ;1.120;2.250;4.400;8.900;18.800;41.000;100.000;265.000
 -80 ° ;1.000;2.100;4.500;9.500;20.500;48.000;120.000;340.000
 -85 ° ;  ;2.050;4.500;10.100;23.000;55.000;144.000;430.000
 -90 ° ;  ;1.900;4.500;10.700;25.500;64.000;174.000;540.000
;;;;;;;;
 Lambda\Phi' ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 50 ° ;  ;  ;  ;  ;  ;  ;1.000;1.250
 45 ° ;  ;  ;  ;  ;1.010;1.220;1.480;1.800
 40 ° ;  ;  ;1.010;1.180;1.400;1.650;2.000;2.500
 35 ° ;  ;1.090;1.250;1.470;1.750;2.300;2.600;3.200
 30 ° ;1.090;1.260;1.480;1.740;2.100;2.550;3.200;4.100
 25 ° ;1.200;1.400;1.660;1.980;2.400;3.000;3.900;5.200
 20 ° ;1.280;1.520;1.830;2.250;2.800;3.600;4.700;6.400
 15 ° ;1.360;1.640;2.000;2.500;3.200;4.100;5.600;8.000
 10 ° ;1.430;1.760;2.200;2.750;3.600;4.800;6.600;9.800
 5 ° ;1.490;1.870;2.350;3.100;4.100;5.700;8.000;12.300
 0 ° ;1.550;1.970;2.550;3.400;4.600;6.500;9.600;15.000
 -5 ° ;1.600;2.100;2.750;3.700;5.200;7.500;11.600;19.000
 -10 ° ;1.650;2.150;2.900;4.100;5.800;8.700;14.000;23.500
 -15 ° ;1.680;2.250;3.100;4.400;6.500;10.100;16.400;30.000
 -20 ° ;1.700;2.350;3.300;4.800;7.300;11.600;19.800;37.000
 -25 ° ;1.710;2.400;3.500;5.200;8.100;13.400;23.500;46.000
