 Lambda\Phi' ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 Lambda\Phi' ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 50 ° ;  ;  ;  ;  ;  ;  ;  ;  
 45 ° ;  ;  ;  ;  ;  ;  ;  ;  
 40 ° ;  ;  ;  ;  ;  ;  ;  ;  
 35 ° ;  ;  ;  ;  ;  ;  ;  ;  
 30 ° ;  ;  ;  ;  ;  ;  ;1.000;1.040
 25 ° ;  ;  ;1.000;1.050;1.110;1.160;1.220;1.270
 20 ° ;1.040;1.100;1.160;1.240;1.300;1.390;1.460;1.530
 15 ° ;1.130;1.220;1.310;1.420;1.510;1.630;1.730;1.830
 10 ° ;1.200;1.330;1.450;1.590;1.730;1.900;2.050;2.200
 5 ° ;1.260;1.420;1.580;1.760;1.950;2.150;2.350;2.600
 0 ° ;1.310;1.500;1.690;1.920;2.150;2.400;2.750;3.000
 -5 ° ;1.350;1.560;1.800;2.050;2.350;2.700;3.100;3.600
 -10 ° ;1.380;1.610;1.890;2.200;2.600;3.000;3.500;4.100
 -15 ° ;1.390;1.650;1.980;2.350;2.800;3.300;4.000;4.800
 -20 ° ;1.400;1.690;2.050;2.500;3.000;3.700;4.500;5.500
 -25 ° ;1.400;1.720;2.100;2.600;3.300;4.000;5.100;6.400
 -30 ° ;1.380;1.740;2.200;2.750;3.500;4.400;5.700;7.500
 -35 ° ;1.360;1.750;2.250;2.900;3.700;4.900;6.500;8.800
 -40 ° ;1.330;1.740;2.300;3.000;4.000;5.400;7.400;10.400
 -45 ° ;1.290;1.730;2.350;3.100;4.300;6.000;8.400;12.200
 -50 ° ;1.240;1.700;2.350;3.200;4.600;6.600;9.500;14.500
 -55 ° ;1.180;1.660;2.350;3.400;4.800;7.300;11.100;17.500
 -60 ° ;1.100;1.610;2.350;3.500;5.200;8.000;12.700;21.000
 -65 ° ;1.020;1.550;2.350;3.600;5.600;8.800;14.800;26.000
 -70 ° ;  ;1.480;2.300;3.700;6.000;9.900;17.000;31.000
 -75 ° ;  ;1.380;2.300;3.800;6.400;11.000;20.000;38.000
 -80 ° ;  ;1.270;2.200;3.900;6.800;12.300;23.000;47.000
 -85 ° ;  ;1.140;2.100;3.900;7.200;13.800;27.000;58.000
 -90 ° ;  ;  ;2.000;4.000;7.800;15.600;32.000;72.000
;;;;;;;;
 Lambda\Phi' ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 50 ° ;  ;  ;  ;  ;  ;  ;  ;  
 45 ° ;  ;  ;  ;  ;  ;  ;  ;  
 40 ° ;  ;  ;  ;  ;  ;  ;  ;1.010
 35 ° ;  ;  ;  ;  ;1.010;1.080;1.150;1.230
 30 ° ;  ;  ;1.050;1.120;1.210;1.300;1.400;1.500
 25 ° ;1.030;1.120;1.200;1.310;1.420;1.540;1.680;1.800
 20 ° ;1.120;1.240;1.360;1.490;1.640;1.800;2.000;2.150
 15 ° ;1.200;1.340;1.500;1.670;1.860;2.100;2.350;2.600
 10 ° ;1.270;1.440;1.620;1.850;2.100;2.350;2.700;3.100
 5 ° ;1.320;1.520;1.740;2.000;2.300;2.650;3.100;3.600
 0 ° ;1.360;1.590;1.850;2.150;2.550;3.000;3.500;4.200
 -5 ° ;1.390;1.650;1.950;2.300;2.750;3.300;4.000;4.900
 -10 ° ;1.420;1.700;2.050;2.450;3.000;3.600;4.500;5.600
 -15 ° ;1.430;1.740;2.100;2.600;3.200;4.000;5.100;6.600
 -20 ° ;1.440;1.780;2.200;2.750;3.500;4.500;5.800;7.700
 -25 ° ;1.440;1.810;2.300;2.900;3.800;4.900;6.600;9.000
 -30 ° ;1.420;1.830;2.350;3.100;4.100;5.400;7.500;10.700
 -35 ° ;1.400;1.830;2.400;3.200;4.400;6.000;8.500;12.600
 -40 ° ;1.370;1.830;2.450;3.400;4.700;6.600;9.800;15.100
 -45 ° ;1.330;1.810;2.500;3.500;5.000;7.400;11.200;18.000
 -50 ° ;1.270;1.780;2.500;3.600;5.400;8.200;13.000;22.000
 -55 ° ;1.210;1.750;2.550;3.800;5.700;9.100;15.000;26.500
 -60 ° ;1.130;1.690;2.550;3.900;6.100;10.000;17.500;32.000
 -65 ° ;1.050;1.620;2.550;4.000;6.600;11.200;20.400;40.000
 -70 ° ;  ;1.540;2.500;4.100;7.100;12.500;23.800;49.000
 -75 ° ;  ;1.440;2.450;4.200;7.600;14.000;27.800;60.000
 -80 ° ;  ;1.330;2.400;4.300;8.100;15.900;33.000;75.000
 -85 ° ;  ;1.190;2.300;4.400;8.700;17.800;39.000;93.000
 -90 ° ;  ;1.040;2.200;4.500;9.400;20.000;47.000;116.000
;;;;;;;;
 Lambda\Phi' ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 50 ° ;  ;  ;  ;  ;  ;  ;  ;  
 45 ° ;  ;  ;  ;  ;  ;  ;  ;1.030
 40 ° ;  ;  ;  ;  ;1.000;1.080;1.170;1.270
 35 ° ;  ;  ;1.020;1.100;1.200;1.300;1.420;1.550
 30 ° ;  ;1.070;1.180;1.280;1.410;1.550;1.710;1.870
 25 ° ;1.090;1.200;1.330;1.470;1.630;1.820;2.000;2.250
 20 ° ;1.170;1.310;1.470;1.650;1.860;2.100;2.350;2.700
 15 ° ;1.240;1.410;1.600;1.820;2.100;2.400;2.750;3.200
 10 ° ;1.300;1.500;1.710;1.990;2.300;2.700;3.200;3.800
 5 ° ;1.350;1.570;1.840;2.150;2.550;3.000;3.600;4.400
 0 ° ;1.390;1.640;1.950;2.300;2.750;3.300;4.100;5.100
 -5 ° ;1.420;1.700;2.050;2.500;3.000;3.700;4.700;5.900
 -10 ° ;1.450;1.750;2.150;2.650;3.300;4.100;5.300;6.900
 -15 ° ;1.460;1.800;2.250;2.800;3.500;4.600;6.000;8.200
 -20 ° ;1.470;1.840;2.300;2.950;3.800;5.100;6.800;9.600
 -25 ° ;1.460;1.860;2.400;3.100;4.100;5.600;7.800;11.400
 -30 ° ;1.450;1.880;2.500;3.300;4.400;6.200;8.900;13.500
 -35 ° ;1.420;1.890;2.550;3.400;4.800;6.800;10.200;16.200
 -40 ° ;1.390;1.880;2.600;3.600;5.200;7.600;11.800;19.400
 -45 ° ;1.350;1.860;2.650;3.700;5.500;8.400;13.600;23.500
 -50 ° ;1.290;1.840;2.650;3.900;5.900;9.400;15.600;28.500
 -55 ° ;1.220;1.800;2.650;4.000;6.400;10.500;18.300;35.000
 -60 ° ;1.150;1.740;2.650;4.200;6.800;11.700;21.000;42.000
 -65 ° ;1.060;1.660;2.650;4.300;7.300;13.000;25.000;52.000
 -70 ° ;  ;1.580;2.600;4.400;7.800;14.600;29.000;65.000
 -75 ° ;  ;1.480;2.550;4.600;8.400;16.400;34.000;81.000
 -80 ° ;  ;1.360;2.500;4.700;9.000;18.600;41.000;100.000
 -85 ° ;  ;1.220;2.400;4.800;9.700;21.000;49.000;125.000
 -90 ° ;  ;1.070;2.300;4.900;10.500;24.000;58.000;156.000
;;;;;;;;
 Lambda\Phi' ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 50 ° ;  ;  ;  ;  ;  ;  ;  ;  
 45 ° ;  ;  ;  ;  ;  ;  ;1.060;1.160
 40 ° ;  ;  ;  ;1.000;1.070;1.180;1.300;1.420
 35 ° ;  ;  ;1.080;1.180;1.290;1.420;1.570;1.740
 30 ° ;1.020;1.120;1.230;1.360;1.510;1.670;1.870;2.100
 25 ° ;1.110;1.240;1.380;1.540;1.730;1.950;2.200;2.500
 20 ° ;1.190;1.350;1.520;1.720;1.970;2.250;2.600;3.000
 15 ° ;1.260;1.440;1.640;1.890;2.200;2.550;3.000;3.500
 10 ° ;1.320;1.530;1.760;2.050;2.400;2.850;3.400;4.100
 5 ° ;1.360;1.600;1.880;2.200;2.650;3.200;3.900;4.800
 0 ° ;1.400;1.670;1.990;2.400;2.900;3.500;4.400;5.600
 -5 ° ;1.440;1.730;2.100;2.550;3.100;3.900;5.000;6.500
 -10 ° ;1.460;1.780;2.200;2.700;3.400;4.400;5.700;7.700
 -15 ° ;1.470;1.820;2.300;2.900;3.700;4.800;6.500;9.100
 -20 ° ;1.480;1.860;2.350;3.100;4.000;5.400;7.400;10.700
 -25 ° ;1.480;1.890;2.450;3.200;4.300;6.000;8.500;12.800
 -30 ° ;1.460;1.910;2.500;3.400;4.700;6.600;9.700;15.200
 -35 ° ;1.440;1.910;2.600;3.500;5.000;7.300;11.200;18.200
 -40 ° ;1.400;1.900;2.650;3.700;5.400;8.100;12.800;22.000
 -45 ° ;1.360;1.880;2.700;3.900;5.800;9.000;14.800;26.500
 -50 ° ;1.300;1.860;2.700;4.000;6.200;10.000;17.200;32.000
 -55 ° ;1.240;1.820;2.700;4.200;6.700;11.000;20.000;40.000
 -60 ° ;1.160;1.760;2.700;4.300;7.200;12.500;23.500;49.000
 -65 ° ;1.080;1.680;2.700;4.500;7.700;14.000;27.500;60.000
 -70 ° ;  ;1.600;2.700;4.600;8.300;15.700;32.000;75.000
 -75 ° ;  ;1.500;2.600;4.700;8.900;17.700;38.000;93.000
 -80 ° ;  ;1.380;2.550;4.800;9.500;20.000;46.000;115.000
 -85 ° ;  ;1.240;2.450;4.900;10.300;23.000;54.000;144.000
 -90 ° ;  ;1.070;2.350;5.000;11.100;26.000;65.000;180.000
;;;;;;;;
 Lambda\Phi' ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 50 ° ;  ;  ;  ;  ;  ;1.040;1.140;1.290
 45 ° ;  ;  ;  ;1.030;1.140;1.280;1.420;1.580
 40 ° ;  ;  ;1.090;1.210;1.350;1.520;1.710;1.940
 35 ° ;1.000;1.100;1.240;1.390;1.570;1.780;2.050;2.350
 30 ° ;1.090;1.220;1.390;1.570;1.800;2.050;2.400;2.800
 25 ° ;1.170;1.340;1.520;1.750;2.050;2.350;2.800;3.300
 20 ° ;1.240;1.430;1.650;1.920;2.250;2.700;3.200;3.900
 15 ° ;1.300;1.520;1.780;2.100;2.500;3.000;3.700;4.600
 10 ° ;1.360;1.600;1.900;2.250;2.750;3.300;4.200;5.400
 5 ° ;1.400;1.670;2.000;2.450;3.000;3.700;4.800;6.300
 0 ° ;1.440;1.740;2.100;2.600;3.300;4.200;5.400;7.400
 -5 ° ;1.470;1.800;2.250;2.800;3.600;4.600;6.200;8.700
 -10 ° ;1.490;1.850;2.350;3.000;3.900;5.100;7.100;10.400
 -15 ° ;1.500;1.900;2.450;3.100;4.200;5.700;8.200;12.300
 -20 ° ;1.510;1.930;2.500;3.300;4.500;6.400;9.400;14.700
 -25 ° ;1.500;1.960;2.600;3.500;4.900;7.100;10.800;17.700
 -30 ° ;1.490;1.980;2.650;3.700;5.300;7.800;12.400;21.000
 -35 ° ;1.460;1.980;2.750;3.800;5.700;8.800;14.400;25.500
 -40 ° ;1.430;1.970;2.800;4.000;6.200;9.700;16.600;31.000
 -45 ° ;1.380;1.950;2.850;4.200;6.600;10.900;19.400;38.000
 -50 ° ;1.330;1.920;2.850;4.400;7.100;12.200;22.500;47.000
 -55 ° ;1.260;1.880;2.900;4.600;7.600;13.700;26.500;58.000
 -60 ° ;1.180;1.820;2.900;4.700;8.200;15.300;31.000;72.000
 -65 ° ;1.080;1.740;2.850;4.900;8.800;17.200;37.000;90.000
 -70 ° ;  ;1.650;2.850;5.000;9.500;19.500;44.000;112.000
 -75 ° ;  ;1.550;2.800;5.200;10.300;22.000;52.000;140.000
 -80 ° ;  ;1.420;2.700;5.300;11.100;25.000;62.000;174.000
 -85 ° ;  ;1.270;2.600;5.500;12.000;28.500;74.000;220.000
 -90 ° ;  ;1.110;2.500;5.600;13.000;32.500;88.000;275.000
;;;;;;;;
 Lambda\Phi' ; 10 ° ; 15 ° ; 20 ° ; 25 ° ; 30 ° ; 35 ° ; 40 ° ; 45 ° 
 50 ° ;  ;  ;  ;  ;1.020;1.150;1.280;1.420
 45 ° ;  ;  ;  ;1.090;1.220;1.370;1.550;1.750
 40 ° ;  ;1.020;1.130;1.280;1.440;1.630;1.860;2.100
 35 ° ;1.010;1.140;1.280;1.460;1.660;1.910;2.200;2.550
 30 ° ;1.100;1.250;1.430;1.640;1.890;2.200;2.600;3.100
